1,Genetiс,75,4,2,2.25,20.25
2,XTRA Reet7,75,4,1,7,25
3,TEMPLE B,73,3,1,4.67,12.67
4,Zenkpo LLEツ,72,3,1,4.67,14.33
5,youtube tyroz,72,4,1,2.75,30.5
6,Dingеrs,69,4,1,2,14.25
7,Twitch Mqtricc,68,4,1,3.75,18
8,FG Ghoul.Fps,68,6,0,2.33,44.17
9,AKA Squish YT,67,3,1,7.67,18.67
10,AEVA Arnie7,67,3,1,2,6
11,TNA ZUM,67,3,0,5.33,25.33
12,Eomzo,66,5,1,2.8,45
13,SPLAT〆,65,3,1,5,21.33
14,nut 1300,65,4,1,4.5,34
15,deefux,65,4,1,2.25,36.5
16,Kazmikk,64,3,1,4.67,13.33
17,PaMstou,64,4,1,3.75,35.25
18,Twitch userrFNBR,64,4,1,2.5,18.5
19,ENDL8SS DEYYRITO,63,3,1,8.67,33.67
20,Kjrop,63,3,0,4,7
21,Scrapper2016,63,7,0,1.14,45.86
22,strawhat charlie,250,6,3,4.17,1.83
23,FS Degen,62,2,1,6.5,3
24,XTRA Illest,61,2,1,4.5,2
25,Resolve 2,61,3,0,3,6
26,doc ム,61,5,0,3,31
27,Pure DaMechton,60,3,0,4.67,22.67
28,bendi 74,60,6,0,2.5,44.83
29,zorq7,59,3,1,3,30
30,Pure G5RC,59,4,1,2.5,32.25
31,Papi Blast,59,4,1,2,36.5
32,trоyski,59,5,1,1.6,30.2
33,οasis,59,6,1,1.17,45.17
34,AKA Spiritz,59,3,0,3.33,10.67
35,stinky rolls,59,3,0,2.67,13.33
36,Liquid Veno,58,4,1,4,38.75
37,Silentt1k,58,4,1,2.5,39.25
38,5G Nach,58,6,1,2.5,43.17
39,Dark_Gabi.,58,5,0,1.8,24.4
40,bully bully 39,57,4,1,5,41.75
41,Jеlly.,57,4,1,2,28
42,Twitter Hxrbi1x,57,6,1,1.83,42.67
43,Flаsh -α-,57,5,0,3.4,30
44,psdо,57,4,0,3,34.75
45,DEV IS TINY,57,3,0,2.33,11.33
46,TNG Backitty,56,3,1,3.33,14
47,XTRA SeahorseTai,56,3,1,2.67,11.33
48,Nico tf upツ,56,5,1,2.2,39.2
49,lil mason jit 父,56,5,1,2,38.4
50,vctix.,56,5,0,2.2,38.6
51,ghѕtу,56,6,0,1.5,50.83
52,Twitch HOUNDSUKE,56,5,0,1,33.6
53,Grand-Papa Yan,55,5,1,2.2,37.8
54,026 Basu,55,4,1,0.5,24.25
55,LG Xoonies,54,7,1,1.43,51.71
56,twitch prudasfn,54,4,0,2.5,26.75
57,youtube fonsifn,54,3,0,2.33,9.67
58,skyfun ӝ,54,5,0,1.6,41.2
59,OA Whofishy,53,3,1,4,34.67
60,Twitch IonzzFN,53,7,1,1.71,53
61,Pгoppa,53,5,1,1.4,36
62,Dictate,53,3,0,5,10.33
63,fiery dolzeur,53,3,0,2.67,23.67
64,KnoddenEU.,53,5,0,2,37.8
65,Twitch Chiefey_,52,4,0,1.75,29.25
66,maxіpoo,52,3,0,1.33,26.67
67,pixеlatеd,51,2,1,5,6.5
68,prnzie wu,51,3,1,4.33,22.33
69,RAAD Batot,51,4,1,2.75,31.75
70,Slаyyz,51,4,1,2.75,42.25
71,Scamp Da Feen,51,3,1,2,17
72,TNA Vex,51,3,0,3.67,14
73,NorCal Frap.,51,3,0,3.33,14.33
74,Tоbe,51,4,0,2,23
75,Вeast.,51,6,0,1.5,51.67
76,MTP Mygouté ӝ,51,5,0,1.4,38.8
77,demizeawesomer,51,4,0,1,25.25
78,TNA Frostty,50,2,1,6.5,11
79,Demon Dylzzz,50,2,1,6.5,12
80,Monkey D. Pos,50,4,1,1.75,30
81,reхoG,50,5,1,1.6,34.2
82,DKC nekro,50,4,1,1.5,31.25
83,Youtube drxppyjs,50,5,1,0.6,40.6
84,Bis Venom メ,50,3,0,5,14.33
85,Timbers Conrad,50,4,0,3.25,27.75
86,Rythmメ,50,6,0,2.5,45.67
87,MGC Nаthan,50,6,0,2,39
88,Vertic Mdfk,50,4,0,1.75,38.75
89,Sword Art Yanti,50,4,0,1.5,28.25
90,noob savaje ψ,49,3,1,3.67,25
91,ЅΝАZ,49,4,0,3.5,31
92,Pandushh,49,5,0,3.4,41
93,Vertic Chung,49,4,0,3,30.75
94,Pavide.,49,3,0,2.67,10.33
95,RAK BabaYaga,49,4,0,1.5,30.75
96,cizIucky,49,5,0,1.4,42.4
97,raydr10,49,7,0,1.29,46.43
98,Secret WRLD,49,4,0,1.25,39.25
99,BBG Bucke,48,4,1,3.5,44
100,Dr. D u k e,48,2,1,2.5,5.5